iter	Passed	Remaining
406	9097	13254
407	9116	13227
408	9133	13197
409	9151	13169
410	9170	13141
411	9186	13110
412	9211	13093
413	9237	13075
414	9264	13059
415	9293	13046
416	9310	13017
417	9342	13007
418	9367	12989
419	9397	12977
420	9425	12962
421	9454	12949
422	9479	12930
423	9512	12923
424	9539	12905
425	9556	12877
426	9583	12860
427	9611	12844
428	9640	12831
429	9662	12808
430	9696	12801
431	9745	12813
432	9785	12813
433	9820	12807
434	9842	12783
435	9866	12763
436	9886	12737
437	9907	12712
438	9930	12690
439	9959	12675
440	9976	12646
441	9996	12619
442	10012	12589
443	10029	12559
444	10045	12529
445	10072	12512
446	10096	12490
447	10113	12461
448	10132	12434
449	10153	12409
450	10172	12383
451	10194	12360
452	10213	12333
453	10245	12322
454	10264	12295
455	10281	12265
456	10301	12240
457	10317	12209
458	10335	12181
459	10353	12154
460	10389	12146
461	10421	12135
462	10448	12117
463	10475	12101
464	10498	12078
465	10521	12056
466	10552	12044
467	10575	12021
468	10596	11997
469	10625	11981
470	10661	11974
471	10694	11963
472	10712	11935
473	10735	11912
474	10766	11899
475	10798	11887
476	10843	11889
477	10860	11860
478	10875	11828
479	10899	11807
480	10926	11789
481	10944	11761
482	10971	11744
483	10992	11719
484	11014	11696
485	11048	11685
486	11067	11658
487	11090	11635
488	11117	11617
489	11146	11600
490	11181	11591
491	11199	11564
492	11228	11547
493	11248	11521
494	11268	11496
495	11296	11479
496	11342	11479
497	11371	11462
498	11403	11449
499	11424	11424
500	11447	11401
501	11470	11379
502	11489	11352
503	11505	11322
504	11524	11296
505	11553	11279
506	11585	11265
507	11611	11245
508	11635	11224
509	11672	11214
510	11708	11204
511	11735	11185
512	11766	11169
513	11797	11154
514	11818	11130
515	11837	11103
516	11862	11082
517	11889	11063
518	11907	11035
519	11919	11002
520	11931	10969
521	11947	10940
522	11962	10910
523	11976	10879
524	12006	10862
525	12025	10836
526	12042	10808
527	12062	10782
528	12078	10753
529	12097	10727
530	12125	10709
531	12142	10682
532	12165	10659
533	12197	10644
534	12217	10619
535	12252	10606
536	12281	10589
537	12306	10567
538	12324	10540
539	12347	10518
540	12380	10503
541	12406	10484
542	12420	10453
543	12435	10424
544	12456	10399
545	12480	10377
546	12499	10351
547	12518	10325
548	12560	10318
549	12590	10300
550	12621	10284
551	12637	10256
552	12653	10227
553	12674	10203
554	12695	10179
555	12715	10153
556	12742	10134
557	12759	10107
558	12771	10075
559	12790	10049
560	12808	10022
561	12830	9999
562	12869	9989
563	12884	9960
564	12908	9938
565	12926	9911
566	12953	9891
567	13003	9890
568	13046	9882
569	13087	9873
570	13110	9850
571	13156	9844
572	13195	9833
573	13240	9826
574	13272	9810
575	13294	9785
576	13328	9771
577	13351	9747
578	13367	9719
579	13384	9692
580	13398	9662
581	13424	9641
582	13441	9614
583	13475	9599
584	13502	9578
585	13525	9555
586	13542	9528
587	13574	9511
588	13589	9482
589	13610	9458
590	13624	9428
591	13636	9398
592	13653	9370
593	13669	9342
594	13684	9314
59595	13685	92759596	13708	92559597	13770	92559598	13810	9245
599	13845	9230
600	13875	9211
601	13890	9183
602	13910	9158
603	13931	9133
604	13952	9109
605	13979	9088
606	14010	9071
607	14045	90560608	14089	9045
609	14110	9021
610	14136	9000
611	14156	8975
612	14178	8951
613	14201	8927
614	14222	8903
615	14240	8876
616	14258	8850
617	14280	8826
618	14306	8805
619	14327	8781
620	14344	8754
621	14362	8728
622	14383	8703
623	14411	8683
624	14426	8655
625	14446	8630
626	14462	86062627	14482	85762628	14500	855629	14523	8529
630	14546	8506
631	14565	8480
632	14583	8455
633	14603	8430
63634	14622	84063635	14647	83863636	14666	83563637	14683	83363638	14703	83063639	14719	827640	14729	8249
641	14747	8223
642	14775	8203
643	14789	8175
644	14807	8150
645	14831	8127
646	14853	8104
647	14874	8079
648	14904	8060
649	14923	8035
650	14942	8010
651	14971	7990
652	14992	7966
653	15008	7940
654	15024	7913
655	15041	7887
656	15061	7863
657	15085	7840
658	15107	7817
659	15128	7793
660	15154	7772
661	15171	7746
662	15187	7719
663	15207	7695
664	15225	7669
665	15239	7642
666	15268	7622
667	15290	7599
668	15309	7574
669	15337	7554
670	15368	7535
671	15385	7509
672	15402	7483
673	15426	7461
674	15445	7436
675	15463	7411
676	15478	7384
677	15497	7360
678	15514	7334
679	15535	7311
680	15555	7286
681	15570	7260
682	15586	7234
683	15608	7210
684	15638	7191
685	15656	7166
686	15678	7142
687	15695	7117
688	15714	7093
689	15734	7069
690	15761	7048
691	15779	7023
692	15796	6998
693	15819	6975
694	15839	6950
695	15864	6929
696	15881	6903
697	15902	6880
69698	15949	68669699	15968	68470700	15985	681701	15999	6791
702	16013	6765
703	16031	6740
704	16057	6719
705	16072	6693
706	16089	6667
707	16117	6647
708	16141	6625
709	16167	6603
710	16186	6579
711	16228	6564
712	16259	6544
713	16300	6529
714	16318	6504
715	16342	6482
716	16363	6458
717	16400	6441
718	16419	6417
719	16447	6396
720	16470	6373
721	16486	6348
722	16511	6325
72723	16558	63172724	16578	628725	16566	6252
726	16594	6231
727	16617	6208
728	16636	6184
729	16655	6160
730	16667	6133
731	16681	6107
73732	16770	61073733	16785	60873734	16805	6059
735	16829	60373736	16849	60173737	16872	59873738	16894	59673739	16918	59474740	16945	59274741	16970	59074742	16990	58774743	17016	58574744	17048	58374745	17065	58174746	17087	57874747	17111	57674748	17129	5740
749	17149	5716
750	17166	5691
751	17188	5668
752	17207	5644
753	17224	5619
754	17243	5595
755	17265	5572
756	17278	55475757	17299	5523
758	17322	5500
759	17341	5476
760	17366	5454
761	17442	5447
762	17487	5431
763	17516	5410
764	17545	5389
765	17564	5365
766	17623	5353
767	17691	5344
768	17717	5322
769	17737	52977770	17761	52777771	17780	5251
772	17795	5225
773	17824	5204
774	17846	5181
775	17870	5158
776	17902	5138
777	17953	5122
778	17982	5101
779	18000	5077
780	18021	5053
781	18049	5031
782	18070	5008
783	18092	4984
784	18110	4960
785	18132	4936
786	18145	4911
787	18178	4890
788	18193	4865
789	18214	4841
790	18238	4818
791	18254	4794
792	18272	4769
793	18289	4745
794	18307	4720
795	18327	4696
796	18344	4672
797	18363	4648
798	18381	4624
799	18402	4600
800	18420	4576
801	18436	4551
802	18454	4527
803	18470	4502
804	18484	4477
805	18497	4452
806	18522	4429
807	18540	4405
808	18559	4381
809	18576	4357
810	18595	4333
811	18611	4309
812	18625	4284
813	18642	4259
814	18662	4236
815	18678	4211
816	18697	4187
817	18719	4165
818	18760	4145
819	18773	4121
820	18805	4100
821	18823	4076
822	18842	4052
823	18864	4029
824	18884	4005
825	18907	3982
826	18921	3958
827	18948	3936
828	18982	3915
829	19000	3891
830	19012	3866
831	19028	3842
832	19049	3818
833	19066	3794
834	19088	3771
835	19108	3748
836	19127	3724
837	19151	3702
838	19170	3678
839	19189	3655
840	19212	3632
841	19230	3608
842	19255	3586
843	19282	3563
844	19301	3540
845	19327	3518
846	19369	3498
847	19404	3478
848	19433	3456
849	19479	3437
850	19504	3414
851	19535	3393
852	19586	3375
853	19619	3354
854	19638	3330
855	19663	3307
856	19707	3288
857	19769	3271
858	19830	3255
859	19884	3237
860	19906	3213
861	19922	3189
862	19946	3166
863	19980	3145
864	19995	3120
865	20022	3098
866	20058	3077
867	20074	3052
868	20089	3028
869	20103	3004
870	20121	2980
871	20153	2958
872	20172	2934
873	20200	2912
874	20214	2887
875	20233	2864
876	20247	2839
877	20266	2816
878	20286	2792
879	20299	2768
880	20316	2744
881	20331	2720
882	20345	2695
883	20358	2671
884	20374	2647
885	20385	2623
886	20396	2598
887	20407	2573
888	20415	2549
889	20430	2525
890	20443	2500
891	20456	2476
892	20464	2452
893	20475	2427
894	20487	2403
895	20496	2379
896	20505	2354
897	20517	2330
898	20527	2306
899	20536	2281
900	20548	2257
901	20558	2233
902	20568	2209
903	20576	2185
904	20589	2161
905	20605	2137
906	20637	2116
907	20651	2092
908	20679	2070
909	20697	2047
910	20710	2023
911	20728	2000
912	20742	1976
913	20756	1953
914	20775	1929
915	20795	1906
916	20813	1883
917	20835	1861
918	20867	1839
919	20891	1816
920	20903	1793
921	20919	1769
922	20931	1746
923	20953	1723
924	20964	1699
925	20978	1676
926	20990	1652
927	21004	1629
928	21017	1606
929	21027	1582
930	21038	1559
931	21050	1535
932	21063	1512
933	21073	1489
934	21082	1465
935	21098	1442
936	21109	1419
937	21123	1396
938	21134	1372
939	21143	1349
940	21158	1326
941	21171	1303
942	21188	1280
943	21202	1257
944	21216	1234
945	21229	1211
946	21238	1188
947	21250	1165
948	21262	1142
949	21274	1119
950	21285	1096
951	21294	1073
952	21307	1050
953	21320	1028
954	21329	1005
955	21339	982
956	21351	959
957	21360	936
958	21373	913
959	21385	891
960	21398	868
961	21408	845
962	21418	822
963	21431	800
964	21442	777
965	21455	755
966	21465	732
967	21475	709
968	21485	687
969	21494	664
970	21505	642
971	21516	619
972	21525	597
973	21536	574
974	21547	552
975	21556	530
976	21567	507
977	21576	485
978	21586	463
979	21597	440
980	21607	418
981	21616	396
982	21628	374
983	21641	351
984	21650	329
985	21661	307
986	21673	285
987	21682	263
988	21692	241
989	21706	219
990	21718	197
991	21730	175
992	21738	153
993	21753	131
994	21765	109
995	21779	87
996	21789	65
997	21798	43
998	21811	21
999	21822	0
0
18
995	23672	95
996	23690	71
997	23716	47
998	23739	23
999	23762	0
