iter	Logloss
0	0.6462063009
1	0.6021346318
2	0.5611749017
3	0.526924816
4	0.4987760915
5	0.4736311502
6	0.4529583977
7	0.4348494411
8	0.419876516
9	0.4082371667
10	0.3975127796
11	0.3877713529
12	0.3798557408
13	0.3729861924
14	0.3673840635
15	0.3617271723
16	0.3578568895
17	0.3542033046
18	0.3505580735
19	0.3471017742
20	0.3447116232
21	0.3423537489
22	0.339843854
23	0.3374082966
24	0.335091103
25	0.332801939
26	0.3307870149
27	0.3291488124
28	0.3274774871
29	0.3260007055
30	0.3243292339
31	0.3228912826
32	0.3215253668
33	0.3205258041
34	0.3193942777
35	0.3181483132
36	0.3170046322
37	0.3160691396
38	0.3154056718
39	0.3144893518
40	0.3134928559
41	0.3125051776
42	0.311770333
43	0.310927499
44	0.3102876126
45	0.309299123
46	0.308705778
47	0.3079200842
48	0.3074027741
49	0.3067982644
50	0.3058245676
51	0.3053159804
52	0.3049023876
53	0.3044406712
54	0.3039986641
55	0.3035594807
56	0.3031162946
57	0.3027317412
58	0.3019547782
59	0.301069144
60	0.3007399419
61	0.3003657338
62	0.3000472582
63	0.299555966
64	0.2992487722
65	0.2988612806
66	0.2984739803
67	0.2982022983
68	0.2978915994
69	0.2976449422
70	0.2971689799
71	0.296589053
72	0.2964184923
73	0.2960048979
74	0.2957434956
75	0.2954351787
76	0.2951764087
77	0.2949412496
78	0.2946769987
79	0.2944355403
80	0.294251762
81	0.2937691492
82	0.2935092219
83	0.2932846396
84	0.2927581956
85	0.2924997507
86	0.2923548008
87	0.2921318346
88	0.2919633416
89	0.2916654047
90	0.2914981591
91	0.2913841401
92	0.2911195776
93	0.2910142704
94	0.2908699966
95	0.2907135508
96	0.2905454885
97	0.2903778729
98	0.2902457792
99	0.289972252
100	0.2897297538
101	0.2895951888
102	0.2894590498
103	0.2890992349
104	0.2889708512
105	0.2887993228
106	0.288622573
107	0.2884746698
108	0.2882220295
109	0.2875015438
110	0.2872440248
111	0.2870711299
112	0.2869542061
113	0.2868301645
114	0.2867419318
115	0.2865653736
116	0.2864473047
117	0.2863177642
118	0.2861630279
119	0.285829709
120	0.2857167022
121	0.2855954655
122	0.2854324783
123	0.2852758757
124	0.2851521633
125	0.2850395081
126	0.2849465057
127	0.2848494724
128	0.2847594288
129	0.2846981932
130	0.2843881314
131	0.2842607742
132	0.2841462072
133	0.284059422
134	0.2839242913
135	0.2838326237
136	0.2837427751
137	0.2836453917
138	0.2835294392
139	0.2834261615
140	0.2833051159
141	0.2829905369
142	0.2828744118
143	0.2827981831
144	0.2826873713
145	0.2825880319
146	0.2825159486
147	0.2824513974
148	0.2821649525
149	0.2820518683
150	0.2819441308
151	0.2817558724
152	0.2815938818
153	0.2814824737
154	0.281393238
155	0.2813107695
156	0.2812311233
157	0.2811504927
158	0.2810996985
159	0.2809190805
160	0.2806167564
161	0.2804801473
162	0.2803262792
163	0.2801948525
164	0.2801069864
165	0.2799896176
166	0.2798370077
167	0.279727899
168	0.2796163585
169	0.2793411221
170	0.2792729006
171	0.2791733255
172	0.2791261054
173	0.2790482527
174	0.2789387404
175	0.2788373395
176	0.2787520208
177	0.2785622477
178	0.2784701994
179	0.2784040613
180	0.2783447836
181	0.2778939131
182	0.2777645086
183	0.2776658439
184	0.277567477
185	0.2773386722
186	0.2772880388
187	0.2772337934
188	0.2768387205
189	0.276744287
190	0.2766219902
191	0.2765152099
192	0.2764476621
193	0.2763767565
194	0.2762874217
195	0.2759639714
196	0.2758721633
197	0.2755108395
198	0.2752687347
199	0.2751838714
200	0.2749603287
201	0.2747988035
202	0.274711079
203	0.2746345138
204	0.2745344724
205	0.2744260949
206	0.2743017905
207	0.2742094915
208	0.2740946331
209	0.2738986386
210	0.2738268371
211	0.2737568833
212	0.2736886336
213	0.273610087
214	0.2735367237
215	0.2734694893
216	0.2732313391
217	0.2731420665
218	0.2730927147
219	0.2729535098
220	0.2728191797
221	0.2727539893
222	0.2727204507
223	0.2726449161
224	0.2725782399
225	0.2725087223
226	0.2724497569
227	0.272385618
228	0.2722903929
229	0.2722166719
230	0.2721384716
231	0.2720404666
232	0.2718425864
233	0.2716437862
234	0.2715594519
235	0.2714474711
236	0.2713788817
237	0.2712939658
238	0.2712448621
239	0.2711301513
240	0.2710086024
241	0.2707217518
242	0.2705630021
243	0.2704709983
244	0.2704024956
245	0.270341022
246	0.2702450764
247	0.2701771871
248	0.2699807375
249	0.2699295059
250	0.2698668509
251	0.2697197022
252	0.2696290997
253	0.269565854
254	0.2694979703
255	0.2694136632
256	0.2693682759
257	0.2692063671
258	0.2691366855
259	0.2690447661
260	0.2687414739
261	0.2686933148
262	0.2686492436
263	0.2685817433
264	0.2684742054
265	0.2683779365
266	0.2683284951
267	0.2682712786
268	0.2681865779
269	0.2681208936
270	0.2680458196
271	0.2679582009
272	0.2678429484
273	0.2677860699
274	0.2677380572
275	0.2676767786
276	0.2675711112
277	0.2675233862
278	0.2674725135
279	0.2674126029
280	0.2672404263
281	0.2671607541
282	0.2669647517
283	0.2668871987
284	0.2668222207
285	0.2667345833
286	0.2666046936
287	0.2665302212
288	0.2664773918
289	0.2662568081
290	0.2662101161
291	0.266098193
292	0.2660514124
293	0.2659467949
294	0.2658565746
295	0.2657919905
296	0.2657235437
297	0.2656773048
298	0.2656315793
299	0.2655911553
300	0.2655367416
301	0.2654810054
302	0.2653896658
303	0.2653238869
304	0.2650449156
305	0.2649633199
306	0.2648861057
307	0.2647913875
308	0.2647246355
309	0.26468649
310	0.2645655524
311	0.2645031265
312	0.2644003507
313	0.2643653862
314	0.2643032797
315	0.2642164447
316	0.2641759446
317	0.264122055
318	0.2640805261
319	0.2640178798
320	0.2639350199
321	0.263903471
322	0.2638393718
323	0.2637401769
324	0.2636918947
325	0.2636523692
326	0.2634146791
327	0.2633503032
328	0.2632993856
329	0.2632312189
330	0.2631778266
331	0.2631390259
332	0.2630948966
333	0.2630412352
334	0.262941235
335	0.2628999664
336	0.2628155261
337	0.2627613561
338	0.2626833796
339	0.2626346075
340	0.2625983154
341	0.2623953943
342	0.2623307413
343	0.2622769065
344	0.2622471533
345	0.2621765495
346	0.2620992245
347	0.2620151983
348	0.2619738329
349	0.2619245453
350	0.261855286
351	0.2617891907
352	0.2617604494
353	0.2617209369
354	0.2616715272
355	0.2614858832
356	0.2614377511
357	0.2613881813
358	0.261353266
359	0.2612936423
360	0.2612599395
361	0.2612017999
362	0.2611340613
363	0.2610396813
364	0.2609795763
365	0.2609281612
366	0.26089526
367	0.2608425013
368	0.2607771214
369	0.2606541672
370	0.2606130457
371	0.2605588578
372	0.2604848016
373	0.2604336294
374	0.2603936896
375	0.2603291095
376	0.2602669665
377	0.2601984024
378	0.2601423607
379	0.2600669143
380	0.2600348146
381	0.259949836
382	0.2599007078
383	0.2598665216
384	0.2597872768
385	0.2597348773
386	0.2596779746
387	0.2596119355
388	0.2595815605
389	0.2595356942
390	0.2594873367
391	0.2594612546
392	0.259442367
393	0.2594184241
394	0.2592840244
395	0.2592062033
396	0.2591418413
397	0.2591147871
398	0.2590772811
399	0.2590329323
400	0.2589849991
401	0.2589072049
402	0.2587754277
403	0.2587226999
404	0.2586023048
405	0.2585366506
406	0.2584680447
407	0.2583994906
408	0.2583468721
409	0.2582944101
410	0.258238867
411	0.2582062032
412	0.258177248
413	0.2580983544
414	0.2580340099
415	0.2579865867
416	0.2579413727
417	0.257901247
418	0.2578535843
419	0.2578207902
420	0.2577810427
421	0.2577266707
422	0.257655946
423	0.2575789245
424	0.2575308101
425	0.257491167
426	0.2574598133
427	0.2574082842
428	0.2573552302
429	0.2573116458
430	0.2572762971
431	0.2571979354
432	0.2571288046
433	0.2570728387
434	0.2570290414
435	0.257000573
436	0.2569130641
437	0.2568767917
438	0.2568439559
439	0.2567931023
440	0.2567538265
441	0.2566775558
442	0.2565750844
443	0.2565487902
444	0.2565006465
445	0.2564257415
446	0.2563447505
447	0.2563160221
448	0.2562596313
449	0.2562177182
450	0.2561612652
451	0.2561313516
452	0.256056439
453	0.2560229745
454	0.2559720771
455	0.2559331376
456	0.2558759364
457	0.2558433425
458	0.2557789908
459	0.2557405388
460	0.2557066853
461	0.2556576313
462	0.2556031684
463	0.2555137485
464	0.2554676052
465	0.2553974162
466	0.2553538348
467	0.2553093829
468	0.2552833935
469	0.2552298155
470	0.25515855
471	0.2551293497
472	0.2550830137
473	0.2550242583
474	0.2549575696
475	0.2549267383
476	0.2548644922
477	0.2548258204
478	0.2547815185
479	0.254726826
480	0.254657864
481	0.2546058592
482	0.2545617686
483	0.2545390702
484	0.2544977728
485	0.2544427076
486	0.2544154867
487	0.2543631857
488	0.2543354725
489	0.2542930694
490	0.2542435774
491	0.2542098219
492	0.25415804
493	0.2541226883
494	0.2540458665
495	0.2540142156
496	0.2539789076
497	0.2539131328
498	0.2538619821
499	0.2538042395
500	0.2537744816
501	0.2537468978
502	0.2537080759
503	0.2536802524
504	0.2536307776
505	0.2536159763
506	0.2535738194
507	0.2535195562
508	0.2534998933
509	0.2534661327
510	0.2534085218
511	0.2533686833
512	0.2532812325
513	0.2532465375
514	0.2531970242
515	0.2531673411
516	0.2531064123
517	0.2530697081
518	0.2530007266
519	0.2529761945
520	0.2528727404
521	0.2528347508
522	0.2528000656
523	0.252765436
524	0.2527212566
525	0.2526710696
526	0.2526279242
527	0.2525842486
528	0.2525382262
529	0.2525026234
530	0.2524322046
531	0.2523949986
532	0.2523634611
533	0.2522788758
534	0.2522541091
535	0.2521925589
536	0.2521448342
537	0.2520422253
538	0.2520169112
539	0.2519771129
540	0.2519445473
541	0.2519262759
542	0.2518938737
543	0.251848481
544	0.2517994605
545	0.2517392196
546	0.2516674626
547	0.2516378181
548	0.2515899138
549	0.2515677551
550	0.2515384994
551	0.2514941161
552	0.2514567574
553	0.251430743
554	0.2514146003
555	0.2513732167
556	0.2513259698
557	0.251258116
558	0.2512458665
559	0.2511886096
560	0.2511333235
561	0.251089306
562	0.2510372377
563	0.2509973579
564	0.2509691511
565	0.2509349245
566	0.2508836515
567	0.2508281535
568	0.2507752669
569	0.2507511396
570	0.2507028637
571	0.250646859
572	0.2506128238
573	0.2505711815
574	0.2505128144
575	0.2504316974
576	0.2503981895
577	0.2503695096
578	0.2503475986
579	0.2503103282
580	0.2502725891
581	0.2502281551
582	0.2501888163
583	0.2501727735
584	0.2501294985
585	0.2500881899
586	0.2500547317
587	0.2500293681
588	0.2500154097
589	0.2499992156
590	0.2499671179
591	0.2499485002
592	0.2499006469
593	0.2498328552
594	0.2497572601
595	0.2497380128
596	0.2497006701
597	0.2496809667
598	0.249641133
599	0.2495599486
600	0.2494900423
601	0.2494445222
602	0.2494045244
603	0.2493560215
604	0.2493204928
605	0.2492801158
606	0.249261731
